Coureur,Équipe,Prix min
MOLLEMA Bauke,Lidl - Trek,6
TEUTENBERG Tim Torn,Lidl - Trek,6
WITHEN PHILIPSEN Albert,Lidl - Trek,6
VERONA Carlos,Lidl - Trek,8
THEUNS Edward,Lidl - Trek,6
CONSONNI Simone,Lidl - Trek,5
BERNARD Julien,Lidl - Trek,4
LÓPEZ Juan Pedro,Lidl - Trek,11
DE LIE Arnaud,Lotto,37
VAN EETVELT Lennert,Lotto,26
SEGAERT Alec,Lotto,6
MENTEN Milan,Lotto,7
BERCKMOES Jenno,Lotto,6
VAN MOER Brent,Lotto,6
TAMINIAUX Lionel,Lotto,6
DE BUYST Jasper,Lotto,6
BERCKMOES Jenno,Lotto,6
DRIZNERS Jarrad,Lotto,3
SEPÚLVEDA Eduardo,Lotto,5
LIVYNS Arjen,Lotto,6
MAS Enric,Movistar Team,36
ROMO Javier,Movistar Team,19
AULAR Orluis,Movistar Team,14
CASTRILLO Pablo,Movistar Team,13
CEPEDA Jefferson Alveiro,Movistar Team,10
ROMEO Iván,Movistar Team,9
RUBIO Einer,Movistar Team,14
CANAL Carlos,Movistar Team,6
BARRENETXEA Jon,Movistar Team,6
GAVIRIA Fernando,Movistar Team,7
GARCÍA CORTINA Iván,Movistar Team,10
OLIVEIRA Nelson,Movistar Team,8
PIDCOCK Thomas,Q36.5 Pro Cycling Team,40
CHRISTEN Fabio,Q36.5 Pro Cycling Team,17
MOSCHETTI Matteo,Q36.5 Pro Cycling Team,16
DE LA CRUZ David,Q36.5 Pro Cycling Team,11
DONOVAN Mark,Q36.5 Pro Cycling Team,10
ROGLIČ Primož,Red Bull - BORA - hansgrohe,70
LIPOWITZ Florian,Red Bull - BORA - hansgrohe,60
ADRIÀ Roger,Red Bull - BORA - hansgrohe,22
FISHER-BLACK Finn,Red Bull - BORA - hansgrohe,17
MEEUS Jordi,Red Bull - BORA - hansgrohe,30
HINDLEY Jai,Red Bull - BORA - hansgrohe,40
VAN POPPEL Danny,Red Bull - BORA - hansgrohe,8
PELLIZZARI Giulio,Red Bull - BORA - hansgrohe,10
VAN GILS Maxim,Red Bull - BORA - hansgrohe,17
VAN DIJKE Mick,Red Bull - BORA - hansgrohe,2
MOSCON Gianni,Red Bull - BORA - hansgrohe,4
PITHIE Laurence,Red Bull - BORA - hansgrohe,13
WANDAHL Frederik,Red Bull - BORA - hansgrohe,6
WELSFORD Sam,Red Bull - BORA - hansgrohe,6
VLASOV Aleksandr,Red Bull - BORA - hansgrohe,11
EVENEPOEL Remco,Soudal Quick-Step,80
MERLIER Tim,Soudal Quick-Step,50
VAN GESTEL Dries,Soudal Quick-Step,7
MAGNIER Paul,Soudal Quick-Step,17
SCHACHMANN Maximilian,Soudal Quick-Step,17
VAN WILDER Ilan,Soudal Quick-Step,16
LAMPERTI Luke,Soudal Quick-Step,6
LECERF Junior,Soudal Quick-Step,6
CATTANEO Mattia,Soudal Quick-Step,8
VANSEVENANT Mauri,Soudal Quick-Step,7
EENKHOORN Pascal,Soudal Quick-Step,3
