Rnk,Rider,Team,UCI,Pnt,,Time
104,RAFFERTY Darren,EF Education - EasyPost,,,,",,0:00"
105,VAN DEN BOSSCHE Fabio,Alpecin - Deceuninck,,,,",,0:00"
106,HOWSON Damien,Q36.5 Pro Cycling Team,,,,0:490:49
107,QUINTANA Nairo,Movistar Team,,,,0:000:00
108,FRIGO Marco,Israel - Premier Tech,,,,",,0:00"
109,CONCI Nicola,XDS Astana Team,,,,",,0:00"
110,KONRAD Patrick,Lidl - Trek,,,,",,0:00"
111,GUGLIELMI Simon,Arkéa - B&B Hotels,,,,",,0:00"
112,VOISARD Yannis,Tudor Pro Cycling Team,,,,",,0:00"
113,VENDRAME Andrea,Decathlon AG2R La Mondiale Team,,,,",,0:00"
114,FORTUNATO Lorenzo,XDS Astana Team,,,,0:490:49
115,PETILLI Simone,Intermarché - Wanty,,,,",,0:49"
116,KUZMIN Anton,XDS Astana Team,,,,",,0:49"
117,MAJKA Rafał,UAE Team Emirates - XRG,,,,0:000:00
118,FUGLSANG Jakob,Israel - Premier Tech,,,,",,0:00"
119,KNOX James,Soudal Quick-Step,,,,",,0:00"
120,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team,,,,",,0:00"
121,DONOVAN Mark,Q36.5 Pro Cycling Team,,,,",,0:00"
122,DENZ Nico,Red Bull - BORA - hansgrohe,,,,",,0:00"
123,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,,,,0:490:49
124,HAMILTON Lucas,INEOS Grenadiers,,,,0:000:00
125,BRENNER Marco,Tudor Pro Cycling Team,,,,",,0:00"
126,ENGELHARDT Felix,Team Jayco AlUla,,,,0:490:49
127,KRIEGER Alexander,Tudor Pro Cycling Team,,,,0:000:00
128,LEMMEN Bart,Team Visma | Lease a Bike,,,,0:490:49
129,KELDERMAN Wilco,Team Visma | Lease a Bike,,,,",,0:49"
130,DOUBLE Paul,Team Jayco AlUla,,,,",,0:49"
131,MONIQUET Sylvain,Cofidis,,,,",,0:49"
132,KRUIJSWIJK Steven,Team Visma | Lease a Bike,,,,",,0:49"
133,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,,,,",,0:49"
134,EDMONDSON Alex,Team Picnic PostNL,,,,1:201:20
135,VAN DER HOORN Taco,Intermarché - Wanty,,,,1:261:26
136,POELS Wout,XDS Astana Team,,,,1:331:33
137,RIVERA Brandon Smith,INEOS Grenadiers,,,,",,1:33"
138,CASTROVIEJO Jonathan,INEOS Grenadiers,,,,",,1:33"
